6,-21.0,100.0,5,24,0
3,-21.0,120.0,0,24,2
3,-21.0,120.0,1,22,14
3,-21.0,120.0,2,24,0
3,-18.0,80.0,0,23,0
3,-18.0,80.0,1,14,7
3,-18.0,80.0,2,24,0
6,-21.0,110.0,0,15,4
6,-21.0,110.0,1,19,5
6,-21.0,110.0,2,24,0
6,-21.0,110.0,3,18,2
6,-21.0,110.0,4,19,0
6,-21.0,110.0,5,24,0
8,-21.0,110.0,0,22,4
8,-21.0,110.0,1,15,0
8,-21.0,110.0,2,20,0
8,-21.0,110.0,3,17,3
8,-21.0,110.0,4,23,5
8,-21.0,110.0,5,16,0
8,-21.0,110.0,6,19,0
8,-21.0,110.0,7,24,0
3,-18.0,90.0,0,23,0
3,-18.0,90.0,1,14,7
3,-18.0,90.0,2,24,0
3,-18.0,100.0,0,23,0
3,-18.0,100.0,1,15,8
3,-18.0,100.0,2,24,0
6,-21.0,120.0,0,19,1
6,-21.0,120.0,1,19,5
6,-21.0,120.0,2,22,1
6,-21.0,120.0,3,15,2
6,-21.0,120.0,4,19,1
6,-21.0,120.0,5,24,0
3,-18.0,110.0,0,23,1
3,-18.0,110.0,1,15,7
3,-18.0,110.0,2,24,0
3,-18.0,120.0,0,23,1
3,-18.0,120.0,1,15,7
3,-18.0,120.0,2,24,0
8,-21.0,120.0,0,19,1
8,-21.0,120.0,1,23,1
8,-21.0,120.0,2,18,2
8,-21.0,120.0,3,19,3
8,-21.0,120.0,4,19,1
8,-21.0,120.0,5,15,0
8,-21.0,120.0,6,18,3
8,-21.0,120.0,7,24,0
6,-18.0,80.0,0,19,0
6,-18.0,80.0,1,16,3
6,-18.0,80.0,2,20,6
6,-18.0,80.0,3,16,1
6,-18.0,80.0,4,23,0
6,-18.0,80.0,5,24,0
8,-18.0,80.0,0,16,2
8,-18.0,80.0,1,21,0
8,-18.0,80.0,2,18,2
8,-18.0,80.0,3,24,4
8,-18.0,80.0,4,14,1
8,-18.0,80.0,5,15,3
8,-18.0,80.0,6,24,0
8,-18.0,80.0,7,24,0
3,-15.0,80.0,0,19,0
3,-15.0,80.0,1,15,4
3,-15.0,80.0,2,24,0
8,-18.0,90.0,0,18,5
8,-18.0,90.0,1,15,1
8,-18.0,90.0,2,15,0
8,-18.0,90.0,3,24,0
8,-18.0,90.0,4,18,2
8,-18.0,90.0,5,22,4
8,-18.0,90.0,6,20,0
